NCBI,Final symbol,Human
mettl13,mettl13,METTL13
LOC107391637,LOC107391637,
LOC107375095,shroom3,SHROOM3
prss35,prss35,PRSS35
fam120c,fam120c,FAM120C
ppm1e,ppm1e,PPM1E
unkl,unkl,UNK
LOC107373491,LOC107373491,ZNF234
LOC107394176,dusp2,DUSP2
LOC107395878,slc7a2 (1 of 4),SLC7A2
LOC107373778,slc7a2 (2 of 4),SLC7A1
slc7a2,slc7a2 (3 of 4),SLC7A2
LOC107375510,slc7a2 (4 of 4),SLC7A2
LOC107396883,pcdhga2,PCDHGA2
cnp,cnp,CNP
ngdn,ngdn,NGDN
exosc9,exosc9,EXOSC9
LOC107381739,smad6 (1 of 2),SMAD6
smad6,smad6 (2 of 2),SMAD6
LOC107392094,gyg1 (1 of 2),GYG1
LOC107382807,gyg1 (2 of 2),GYG1
LOC107394519,LOC107394519,
foxa2,foxa2 (1 of 2),FOXA2
LOC107379795,foxa2 (2 of 2),FOXA1
eno4,eno4 (1 of 2),ENO4
LOC107372331,eno4 (2 of 2),ENO4
LOC107378795,ncoa7 (1 of 4),NCOA7
LOC107378794,ncoa7 (2 of 4),NCOA7
LOC107377463,ncoa7 (3 of 4),NCOA7
LOC107378797,ncoa7 (4 of 4),NCOA7
LOC107378205,txlnb (1 of 3),TXLNB
LOC107391956,txlnb (2 of 3),TXLNB
LOC107391576,txlnb (3 of 3),
cthrc1,cthrc1,CTHRC1
LOC107374453,LOC107374453,
LOC107395201,nr1d1 (1 of 2),NR1D1
LOC107385638,nr1d1 (2 of 2),NR1D2
agtpbp1,agtpbp1,AGTPBP1
wnt6,wnt6,WNT6
LOC107380752,il18,
LOC107383605,tpm1 (1 of 3),TPM4
LOC107381553,tpm1 (2 of 3),TPM3
tpm1,tpm1 (3 of 3),TPM1
LOC107394835,elmo1,ELMO1
hscb,hscb,HSCB
aprt,aprt (1 of 2),APRT
LOC107379990,aprt (2 of 2),APRT
socs6,socs6,SOCS6
avpi1,avpi1,C8orf4
LOC107392621,rtp3 (1 of 3),RTP2
LOC107397256,rtp3 (2 of 3),RTP3
LOC107397253,rtp3 (3 of 3),RTP2
tnpo1,tnpo1,TNPO1
adam12,adam12 (1 of 2),ADAM12
LOC107387781,adam12 (2 of 2),ADAM12
LOC107377100,LOC107377100,
cherp,cherp,CHERP
kiaa0355,kiaa0355,KIAA0355
fto,fto,FTO
reep6,reep6,REEP6
sc5d,sc5d,SC5D
LOC107386429,gfra4 (1 of 5),GFRA1
LOC107372813,gfra4 (2 of 5),GFRA1
LOC107387210,gfra4 (3 of 5),GFRA2
LOC107396537,gfra4 (4 of 5),GFRA1
LOC107395903,gfra4 (5 of 5),GFRA1
gspt1,gspt1 (1 of 2),GSPT1
LOC107391580,gspt1 (2 of 2),GSPT1
zdhhc17,zdhhc17,ZDHHC17
arfip2,arfip2 (1 of 2),ARFIP2
LOC107386945,arfip2 (2 of 2),ARFIP2
grin2b,grin2b (1 of 2),GRIN2B
LOC107382198,grin2b (2 of 2),GRIN2B
gmnc,gmnc,GMNC
LOC107382314,luc7l2,LUC7L2
mpp6,mpp6 (1 of 2),MPP6
LOC107374067,mpp6 (2 of 2),MPP6
tcf15,tcf15,TCF15
LOC107383233,tpm3,TPM3
LOC107387181,camk2a,CAMK2A
lamp3,lamp3,LAMP3
LOC107382070,LOC107382070,
ppid,ppid,PPID
ldhb,ldhb,LDHB
adgrb2,adgrb2,ADGRB2
LOC107390956,etv7,ETV7
aadat,aadat,AADAT
cbx2,cbx2 (1 of 2),CBX2
LOC107387235,cbx2 (2 of 2),CBX2
lrrc75a,lrrc75a,LRRC75A
col6a2,col6a2 (1 of 2),COL6A2
LOC107390119,col6a2 (2 of 2),COL6A2
LOC107392105,pcnt,AKAP9
LOC107395697,pi4ka (1 of 3),PI4KA
LOC107394269,pi4ka (2 of 3),PI4KA
LOC107394266,pi4ka (3 of 3),PI4KA
bri3,bri3,BRI3
naxe,naxe,APOA1BP
LOC107394900,galr1 (1 of 4),GALR1
LOC107373077,galr1 (2 of 4),GALR1
LOC107384228,galr1 (3 of 4),SSTR5
LOC107381519,galr1 (4 of 4),GALR1
LOC107378006,ehd3 (1 of 2),EHD1
LOC107376684,ehd3 (2 of 2),EHD3
LOC107384694,pcbp3 (1 of 2),PCBP3
LOC107375542,pcbp3 (2 of 2),PCBP3
plekha3,plekha3,PLEKHA3
ncam2,ncam2,NCAM2
sypl1,sypl1,SYPL1
LOC107374239,diras1 (1 of 2),DIRAS2
LOC107392100,diras1 (2 of 2),DIRAS2
lats2,lats2,LATS2
rfwd2,rfwd2,RFWD2
LOC107393115,s1pr4,S1PR4
cpne9,cpne9,CPNE9
LOC107391182,LOC107391182,
LOC107393402,col27a1 (1 of 3),
LOC107395324,col27a1 (2 of 3),COL27A1
LOC107374763,col27a1 (3 of 3),COL27A1
coq10a,coq10a,COQ10A
ddb2,ddb2,DDB2
LOC107395877,slit2 (1 of 3),SLIT2
LOC107387674,slit2 (2 of 3),RTN4R
slit2,slit2 (3 of 3),SLIT2
LOC107387421,LOC107387421,
tp63,tp63,TP63
LOC107387862,nt5c3b,NT5C3B
fdft1,fdft1,FDFT1
LOC107392729,cep170 (1 of 2),CEP170
cep170,cep170 (2 of 2),CEP170
LOC107385420,mypn (1 of 2),MYOT
mypn,mypn (2 of 2),MYPN
bbs2,bbs2,BBS2
LOC107387221,tmem120a (1 of 2),TMEM120B
tmem120a,tmem120a (2 of 2),TMEM120B
LOC107384616,lrrc17 (1 of 2),LRRC17
lrrc17,lrrc17 (2 of 2),LRRC17
LOC107395202,LOC107395202,
nol7,nol7,NOL7
LOC107387818,gpx6,GPX5
LOC107390961,kcna2 (1 of 2),KCNA2
LOC107385044,kcna2 (2 of 2),KCNA2
LOC107388938,fbxl14,FBXL14
LOC107388918,LOC107388918,C16orf72
LOC107396817,thap9 (1 of 2),
LOC107373756,thap9 (2 of 2),
b3galnt2,b3galnt2,B3GALNT2
slc35b4,slc35b4,SLC35B4
nfib,nfib,NFIB
ciita,ciita,CIITA
dmxl2,dmxl2,DMXL2
LOC107383087,hes7 (1 of 2),HES7
LOC107383157,hes7 (2 of 2),HES7
pcbp2,pcbp2 (1 of 2),PCBP2
LOC107391117,pcbp2 (2 of 2),PCBP2
postn,postn (1 of 2),POSTN
LOC107380231,postn (2 of 2),POSTN
ogfod3,ogfod3,OGFOD3
LOC107376501,kdelr2 (1 of 2),KDELR2
LOC107373304,kdelr2 (2 of 2),KDELR2
LOC107384193,map4,MAP4
arhgef10,arhgef10,ARHGEF10
naa25,naa25,NAA25
b4galnt4,b4galnt4,B4GALNT4
sox8,sox8 (1 of 2),SOX8
LOC107376462,sox8 (2 of 2),SOX8
adamts20,adamts20,ADAMTS9
LOC107389082,hipk2 (1 of 4),HIPK2
LOC107386895,hipk2 (2 of 4),HIPK2
LOC107381486,hipk2 (3 of 4),HIPK2
LOC107389052,hipk2 (4 of 4),HIPK2
edc3,edc3 (1 of 2),EDC3
LOC107388446,edc3 (2 of 2),EDC3
cpb1,cpb1,CPB1
maff,maff,MAFK
vill,vill,AVIL
lmtk3,lmtk3,LMTK3
LOC107381545,alpk3 (1 of 2),ALPK3
LOC107388787,alpk3 (2 of 2),ALPK3
zc3h18,zc3h18,ZC3H18
hmox2,hmox2,HMOX2
mrps23,mrps23,MRPS23
brox,brox,BROX
sik3,sik3,SIK3
LOC107375136,tsc1 (1 of 2),TSC1
LOC107386302,tsc1 (2 of 2),TSC1
LOC107384496,gxylt1 (1 of 2),GXYLT1
LOC107388494,gxylt1 (2 of 2),GXYLT1
rfc4,rfc4,RFC4
LOC107386565,npas2,NPAS2
LOC107396790,LOC107396790,
ccdc51,ccdc51,CCDC51
hmg20b,hmg20b,HMG20B
hmgn5,hmgn5,HMGN5
serinc4,serinc4,SERINC4
LOC107376647,fam173a (1 of 2),FAM173A
LOC107394074,fam173a (2 of 2),FAM173A
LOC107377547,tgfb2,TGFB2
LOC107395001,cdk15,CDK15
wdsub1,wdsub1,WDSUB1
LOC107390631,tas1r1 (1 of 5),TAS1R1
LOC107390620,tas1r1 (2 of 5),TAS1R1
LOC107390632,tas1r1 (3 of 5),TAS1R2
LOC107390697,tas1r1 (4 of 5),TAS1R1
LOC107390621,tas1r1 (5 of 5),TAS1R2
espnl,espnl (1 of 3),ESPNL
LOC107390694,espnl (2 of 3),ESPNL
LOC107384428,espnl (3 of 3),ESPNL
rab11fip4,rab11fip4 (1 of 3),RAB11FIP4
LOC107391608,rab11fip4 (2 of 3),RAB11FIP4
LOC107373374,rab11fip4 (3 of 3),RAB11FIP4
ddx17,ddx17,DDX17
dnlz,dnlz,DNLZ
tdrkh,tdrkh,TDRKH
LOC107395934,meis3,MEIS3
fam135a,fam135a,FAM135A
LOC107385889,or2m3 (1 of 2),GHSR
LOC107385892,or2m3 (2 of 2),OR1F1
LOC107390308,mbtd1 (1 of 4),MBTD1
LOC107374298,mbtd1 (2 of 4),MBTD1
LOC107390307,mbtd1 (3 of 4),MBTD1
LOC107396702,mbtd1 (4 of 4),MBTD1
LOC107385647,pip4k2c (1 of 2),PIP4K2C
pip4k2c,pip4k2c (2 of 2),PIP4K2C
pld4,pld4,PLD4
rasgef1c,rasgef1c,RASGEF1C
rps20,rps20,RPS20
gatc,gatc,GATC
mcm10,mcm10,MCM10
upf2,upf2,UPF2
pik3ap1,pik3ap1,PIK3AP1
LOC107379017,fam122a (1 of 2),FAM122A
LOC107387159,fam122a (2 of 2),FAM122B
LOC107384179,prpf40a (1 of 2),PRPF40A
prpf40a,prpf40a (2 of 2),PRPF40A
hn1l,hn1l,HN1L
pbx3,pbx3,PBX3
pacsin1,pacsin1 (1 of 2),PACSIN1
LOC107391251,pacsin1 (2 of 2),PACSIN1
LOC107377841,slc22a2 (1 of 2),SLC22A2
LOC107377840,slc22a2 (2 of 2),SLC22A2
LOC107394777,cd164l2,CD164L2
LOC107383451,kcnj9 (1 of 2),KCNJ9
LOC107395271,kcnj9 (2 of 2),KCNJ9
csgr08h21orf62,c21orf62,C21orf62
LOC107378633,stmn1 (1 of 2),STMN1
LOC107374467,stmn1 (2 of 2),STMN1
bdp1,bdp1,BDP1
LOC107393054,dsp (1 of 2),DSP
dsp,dsp (2 of 2),DSP
LOC107381298,ppfibp2 (1 of 2),PPFIBP2
LOC107389235,ppfibp2 (2 of 2),PPFIBP1
LOC107380460,reg3a,REG3G
fry,fry (1 of 2),FRY
LOC107380028,fry (2 of 2),FRY
LOC107396651,serinc1 (1 of 2),SERINC1
serinc1,serinc1 (2 of 2),SERINC1
LOC107378149,cyp46a1 (1 of 3),CYP46A1
LOC107378150,cyp46a1 (2 of 3),CYP46A1
LOC107378067,cyp46a1 (3 of 3),CYP46A1
prrx1,prrx1,PRRX1
nt5c2,nt5c2 (1 of 3),NT5C2
LOC107375506,nt5c2 (2 of 3),NT5C2
LOC107372780,nt5c2 (3 of 3),NT5C2
LOC107384482,mast3 (1 of 2),MAST2
mast3,mast3 (2 of 2),MAST3
LOC107394538,cdcp1 (1 of 2),CDCP1
LOC107396296,cdcp1 (2 of 2),CDCP1
pcyt1b,pcyt1b (1 of 2),PCYT1B
LOC107386410,pcyt1b (2 of 2),PCYT1B
LOC107388527,c1qtnf4 (1 of 2),C1QTNF4
c1qtnf4,c1qtnf4 (2 of 2),C1QTNF4
LOC107386355,vasp (1 of 2),EVL
LOC107380682,vasp (2 of 2),EVL
lrrc40,lrrc40,LRRC40
LOC107397027,pdzd2 (1 of 2),PDZD2
LOC107373765,pdzd2 (2 of 2),PDZD2
zfand4,zfand4,ZFAND4
aldh1a2,aldh1a2,ALDH1A2
LOC107379040,gabbr2 (1 of 2),GABBR2
gabbr2,gabbr2 (2 of 2),GABBR2
rps25,rps25,RPS25
rnf2,rnf2,RNF2
ubr2,ubr2,UBR2
LOC107384617,bco1 (1 of 2),BCO1
LOC107383014,bco1 (2 of 2),BCO1
hmga2,hmga2,HMGA2
ints9,ints9,INTS9
lonp2,lonp2,LONP2
arv1,arv1,ARV1
atg13,atg13,ATG13
mtpap,mtpap,MTPAP
LOC107390283,c1ql2 (1 of 4),C1QL2
LOC107391850,c1ql2 (2 of 4),C1QL2
LOC107378450,c1ql2 (3 of 4),C1QL2
LOC107381050,c1ql2 (4 of 4),C1QL2
LOC107391721,kcnk16,KCNK16
LOC107372771,wac (1 of 3),WAC
wac,wac (2 of 3),WAC
LOC107384321,wac (3 of 3),WAC
dolk,dolk,DOLK
brinp1,brinp1,BRINP1
LOC107386185,slc12a2 (1 of 2),SLC12A2
slc12a2,slc12a2 (2 of 2),SLC12A2
LOC107374913,c1qtnf12,FAM132A
brpf1,brpf1,BRPF1
kiaa1614,kiaa1614,KIAA1614
LOC107384623,ccdc146,CCDC146
myrfl,myrfl,MYRFL
csgr13h12orf29,csgr13h12orf29,C12orf29
LOC107383977,agxt (1 of 2),AGXT
LOC107396625,agxt (2 of 2),AGXT
LOC107393355,LOC107393355,
LOC107374998,slc25a25 (1 of 3),SLC25A25
LOC107386044,slc25a25 (2 of 3),SLC25A25
LOC107383520,slc25a25 (3 of 3),SLC25A25
homer1,homer1 (1 of 2),HOMER1
LOC107393910,homer1 (2 of 2),HOMER1
laptm4a,laptm4a,LAPTM4A
smim14,smim14,SMIM14
slc29a4,slc29a4,SLC29A4
fgf8,fgf8 (1 of 2),FGF8
LOC107375498,fgf8 (2 of 2),FGF8
LOC107393225,tor1aip2,TOR1AIP2
LOC107377054,cxcl1 (1 of 2),CXCL2
LOC107377053,cxcl1 (2 of 2),CXCL6
spata20,spata20,SPATA20
mrap2,mrap2,MRAP2
LOC107377349,agfg2,AGFG1
slc19a2,slc19a2 (1 of 2),SLC19A2
LOC107380503,slc19a2 (2 of 2),SLC19A3
vdac1,vdac1,VDAC1
med22,med22,MED22
LOC107395947,mtch2 (1 of 2),MTCH2
mtch2,mtch2 (2 of 2),MTCH2
rfx5,rfx5,RFX5
plekhg7,plekhg7,PLEKHG7
LOC107393918,slc14a2,SLC14A2
LOC107375556,sorbs1,SORBS1
hmces,hmces,HMCES
LOC107387562,c1ql1 (1 of 2),C1QL3
LOC107378456,c1ql1 (2 of 2),C1QL1
tox,tox,TOX
med7,med7,MED7
phc3,phc3,PHC3
dnajc1,dnajc1,DNAJC1
podn,podn,PODN
mrps17,mrps17,MRPS17
LOC107380909,ndufs1 (1 of 2),NDUFS1
ndufs1,ndufs1 (2 of 2),NDUFS1
znf595,znf595 (1 of 6),ZNF568
LOC107376760,znf595 (2 of 6),ZNF737
LOC107396227,znf595 (3 of 6),ZNF93
LOC107373968,znf595 (4 of 6),ZNF595
LOC107374601,znf595 (5 of 6),ZNF595
LOC107372882,znf595 (6 of 6),ZNF595
ttc7b,ttc7b,TTC7B
csgr02h4orf33,csgr02h4orf33,C4orf33
hgh1,hgh1,HGH1
rab4a,rab4a,RAB4A
nek5,nek5,NEK5
adnp2,adnp2,ADNP2
anapc1,anapc1,ANAPC1
LOC107389088,LOC107389088,
LOC107393300,uqcr11 (1 of 2),AC005943.2
LOC107384147,uqcr11 (2 of 2),AC005943.2
frk,frk,FRK
LOC107390281,LOC107390281,
mlec,mlec,MLEC
tmem241,tmem241,TMEM241
LOC107379173,ube2e2 (1 of 2),UBE2E2
LOC107383251,ube2e2 (2 of 2),UBE2E2
dgke,dgke,DGKE
adcy3,adcy3 (1 of 3),ADCY3
LOC107377977,adcy3 (2 of 3),ADCY3
LOC107377979,adcy3 (3 of 3),ADCY3
dnmbp,dnmbp,DNMBP
LOC107379332,man1a1 (1 of 2),MAN1C1
LOC107377742,man1a1 (2 of 2),MAN1A1
ltn1,ltn1,LTN1
rabggta,rabggta,RABGGTA
LOC107379416,il11,IL11
fbxo46,fbxo46,FBXO46
LOC107388915,wnk1 (1 of 2),WNK1
wnk1,wnk1 (2 of 2),WNK1
ush1g,ush1g,USH1G
LOC107372346,ambp (1 of 2),AMBP
LOC107372358,ambp (2 of 2),AMBP
birc6,birc6 (1 of 2),BIRC6
LOC107395778,birc6 (2 of 2),BIRC6
LOC107376048,nefm (1 of 4),NEFM
nefm,nefm (2 of 4),NEFM
LOC107387223,nefm (3 of 4),
LOC107395630,nefm (4 of 4),
prdm16,prdm16,PRDM16
nalcn,nalcn,NALCN
LOC107388514,or6n2 (1 of 8),OR11A1
LOC107372782,or6n2 (2 of 8),OR13C2
LOC107383730,or6n2 (3 of 8),OR13C2
LOC107395275,or6n2 (4 of 8),OR11A1
LOC107373151,or6n2 (5 of 8),OR13C2
LOC107383635,or6n2 (6 of 8),OR11A1
LOC107376888,or6n2 (7 of 8),OR11G2
LOC107395276,or6n2 (8 of 8),OR13C2
fyttd1,fyttd1,FYTTD1
LOC107384045,mettl7a (1 of 2),METTL7A
LOC107384046,mettl7a (2 of 2),METTL7A
LOC107378278,ttyh2 (1 of 2),TTYH2
ttyh2,ttyh2 (2 of 2),TTYH2
nipa1,nipa1,NIPA1
srrd,srrd,SRRD
cpne2,cpne2,CPNE2
gnptg,gnptg,GNPTG
tcaf1,tcaf1,TCAF2
rab1a,rab1a (1 of 2),RAB1A
LOC107379843,rab1a (2 of 2),RAB1A
LOC107394540,clec3b (1 of 2),CLEC3B
clec3b,clec3b (2 of 2),CLEC3B
ndrg1,ndrg1 (1 of 2),NDRG1
LOC107394376,ndrg1 (2 of 2),NDRG1
fdps,fdps,FDPS
LOC107390781,LOC107390781,
ndufs3,ndufs3,NDUFS3
aak1,aak1 (1 of 2),GAK
LOC107373159,aak1 (2 of 2),AAK1
LOC107384935,chchd4 (1 of 2),CHCHD4
LOC107385719,chchd4 (2 of 2),CHCHD4
ramp2,ramp2,RAMP2
exoc3,exoc3 (1 of 2),EXOC3
LOC107389266,exoc3 (2 of 2),EXOC3
ppm1l,ppm1l (1 of 2),PPM1L
LOC107384002,ppm1l (2 of 2),PPM1L
hacl1,hacl1,HACL1
LOC107387014,atp5l,ATP5L
wdr24,wdr24,WDR24
efhb,efhb,EFHB
LOC107395950,adgra1 (1 of 2),ADGRA1
adgra1,adgra1 (2 of 2),ADGRA1
slc27a4,slc27a4,SLC27A4
tfb1m,tfb1m,TFB1M
fam210b,fam210b,FAM210B
prmt5,prmt5,PRMT5
LOC107372786,LOC107372786,
csgr17h19orf70,csgr17h19orf70,C19orf70
cth,cth,CTH
abhd16a,abhd16a,ABHD16A
naa20,naa20,NAA20
LOC107380415,zfp36,ZFP36L2
tmem223,tmem223,TMEM223
vsig10,vsig10,VSIG10
lin37,lin37,LIN37
kat7,kat7 (1 of 2),KAT7
LOC107376197,kat7 (2 of 2),KAT7
LOC107385731,impdh1 (1 of 2),IMPDH1
LOC107388878,impdh1 (2 of 2),IMPDH1
LOC107379151,phf1,PHF1
unc93a,unc93a,UNC93A
fibin,fibin (1 of 2),FIBIN
LOC107381952,fibin (2 of 2),FIBIN
LOC107386656,LOC107386656,
sorcs2,sorcs2,SORCS2
LOC107389557,rbm44,
banf1,banf1,BANF1
mtnr1a,mtnr1a (1 of 3),MTNR1A
LOC107380667,mtnr1a (2 of 3),MTNR1A
LOC107386965,mtnr1a (3 of 3),MTNR1A
tnfsf11,tnfsf11,TNFSF11
LOC107386607,fam196b,FAM196B
wipf1,wipf1,WIPF1
miox,miox,MIOX
LOC107380881,cxcr2,CXCR1
prpf18,prpf18,PRPF18
cab39l,cab39l,CAB39L
smyd1,smyd1 (1 of 2),SMYD1
LOC107394125,smyd1 (2 of 2),SMYD1
LOC107394452,zbtb49 (1 of 2),GZF1
zbtb49,zbtb49 (2 of 2),ZBTB49
LOC107378774,rad21 (1 of 3),RAD21
LOC107391265,rad21 (2 of 3),RAD21L1
LOC107394509,rad21 (3 of 3),RAD21
LOC107384747,tspan5 (1 of 2),TSPAN5
LOC107375257,tspan5 (2 of 2),TSPAN5
LOC107374507,paqr8,PAQR8
LOC107391613,col1a1 (1 of 2),COL1A1
LOC107387680,col1a1 (2 of 2),COL1A1
LOC107394321,erap1,ERAP1
ptgs2,ptgs2,PTGS2
fastkd2,fastkd2,FASTKD2
LOC107389205,far1 (1 of 2),FAR1
LOC107386405,far1 (2 of 2),FAR1
LOC107374020,clmn,CLMN
agr2,agr2,AGR3
LOC107379640,l3mbtl3,L3MBTL3
LOC107377728,rdh14 (1 of 2),RDH14
LOC107386229,rdh14 (2 of 2),RDH14
dnajc28,dnajc28,DNAJC28
chst7,chst7,CHST7
LOC107378527,rundc3a (1 of 2),RUNDC3A
LOC107387925,rundc3a (2 of 2),RUNDC3A
xpnpep3,xpnpep3,XPNPEP3
LOC107381309,cox4i1,COX4I1
bbs7,bbs7,BBS7
pomt2,pomt2,POMT2
map2k2,map2k2,MAP2K2
gpr156,gpr156,GPR156
LOC107396748,LOC107396748,
clvs2,clvs2,CLVS2
rpf2,rpf2,RPF2
med16,med16,MED16
pfdn1,pfdn1,PFDN1
tmem63a,tmem63a,TMEM63B
LOC107372751,LOC107372751,
LOC107375343,zscan10 (1 of 2),ZNF165
LOC107372981,zscan10 (2 of 2),ZNF182
LOC107382610,LOC107382610,
lrriq1,lrriq1,LRRIQ1
vangl1,vangl1 (1 of 2),VANGL1
LOC107389917,vangl1 (2 of 2),VANGL1
LOC107392204,LOC107392204,
LOC107393820,LOC107393820,CXorf40A
skor2,skor2,SKOR2
LOC107380821,emx1 (1 of 2),EMX1
LOC107391788,emx1 (2 of 2),EMX1
llph,llph,LLPH
LOC107397145,rnf170 (1 of 2),RNF170
LOC107396403,rnf170 (2 of 2),RNF170
pqlc1,pqlc1 (1 of 2),PQLC1
LOC107389334,pqlc1 (2 of 2),PQLC1
banp,banp,BANP
yif1a,yif1a,YIF1A
ophn1,ophn1,OPHN1
nsd1,nsd1,NSD1
cep126,cep126,CEP126
LOC107392807,jak2 (1 of 3),JAK2
LOC107372526,jak2 (2 of 3),JAK2
LOC107394328,jak2 (3 of 3),JAK2
LOC107379323,ago3 (1 of 2),AGO3
LOC107394889,ago3 (2 of 2),AGO3
LOC107391705,rin3,RIN3
kti12,kti12,KTI12
LOC107380636,oprm1 (1 of 2),OR51T1
LOC107380635,oprm1 (2 of 2),OPRM1
LOC107389318,fbxl2 (1 of 2),LRRC29
fbxl2,fbxl2 (2 of 2),FBXL2
mto1,mto1,MTO1
ndel1,ndel1 (1 of 2),NDEL1
LOC107387472,ndel1 (2 of 2),NDEL1
eea1,eea1 (1 of 3),EEA1
LOC107378030,eea1 (2 of 3),
LOC107374775,eea1 (3 of 3),
LOC107390979,or5k3,OR52E8
LOC107381728,slc41a2 (1 of 2),SLC41A2
LOC107389051,slc41a2 (2 of 2),SLC41A2
LOC107380296,rtn3 (1 of 2),RTN2
LOC107384722,rtn3 (2 of 2),RTN3
LOC107386857,ssh2,SSH2
epn3,epn3 (1 of 4),EPN3
LOC107394843,epn3 (2 of 4),EPN1
LOC107378285,epn3 (3 of 4),EPN3
LOC107373120,epn3 (4 of 4),EPN3
dhx38,dhx38,DHX38
polr3g,polr3g,POLR3G
LOC107378397,gper1 (1 of 2),GPER1
gper1,gper1 (2 of 2),GPER1
cacna1f,cacna1f,CACNA1F
wdr41,wdr41,WDR41
LOC107386795,LOC107386795,
gtf2h1,gtf2h1,GTF2H1
LOC107395409,zbed9 (1 of 10),ZBED9
LOC107389913,zbed9 (2 of 10),ZBED9
LOC107396360,zbed9 (3 of 10),ZBED9
LOC107374121,zbed9 (4 of 10),ZBED9
LOC107397382,zbed9 (5 of 10),ZBED9
LOC107373202,zbed9 (6 of 10),ZBED9
LOC107378748,zbed9 (7 of 10),ZBED9
LOC107373572,zbed9 (8 of 10),ZBED9
LOC107389530,zbed9 (9 of 10),ZBED9
LOC107396762,zbed9 (10 of 10),ZBED9
wbp1l,wbp1l (1 of 2),WBP1L
LOC107375496,wbp1l (2 of 2),WBP1L
cdkn2aipnl,cdkn2aipnl,CDKN2AIPNL
ttc22,ttc22,TTC22
LOC107382165,cxcl8 (1 of 2),CXCL2
LOC107373603,cxcl8 (2 of 2),CXCL8
myef2,myef2,MYEF2
slc30a1,slc30a1 (1 of 2),SLC30A1
LOC107380284,slc30a1 (2 of 2),SLC30A1
LOC107395232,rab3b,RAB3B
LOC107375598,vcl (1 of 2),VCL
vcl,vcl (2 of 2),VCL
LOC107372990,LOC107372990,
chrna2,chrna2 (1 of 2),CHRNA2
LOC107391316,chrna2 (2 of 2),CHRNA4
LOC107372766,stat5a,STAT5B
LOC107391105,fgd3,FGD3
mcm3ap,mcm3ap,MCM3AP
gucy1a3,gucy1a3,GUCY1A3
LOC107379632,rnf151 (1 of 2),RNF41
rnf151,rnf151 (2 of 2),RNF151
LOC107393792,smn1 (1 of 2),SMN1
LOC107392643,smn1 (2 of 2),SMN1
LOC107381059,LOC107381059,
itgb8,itgb8,ITGB8
zbtb7a,zbtb7a,ZBTB7A
babam1,babam1,BABAM1
pnkd,pnkd (1 of 2),PNKD
LOC107390222,pnkd (2 of 2),PNKD
sike1,sike1,SIKE1
LOC107373780,LOC107373780,
esm1,esm1,ESM1
LOC107376050,cd300lb,CD300LD
naaa,naaa,NAAA
mtpn,mtpn,MTPN
nppa,nppa,NPPA
mogs,mogs,MOGS
d2hgdh,d2hgdh,D2HGDH
LOC107391434,fam110a (1 of 2),FAM110B
LOC107390492,fam110a (2 of 2),FAM110A
trap1,trap1,TRAP1
tax1bp1,tax1bp1 (1 of 2),TAX1BP1
LOC107383378,tax1bp1 (2 of 2),TAX1BP1
polr3e,polr3e,POLR3E
nat9,nat9,NAT9
LOC107396784,tnf,TNF
LOC107384186,trnau1ap (1 of 2),TRNAU1AP
trnau1ap,trnau1ap (2 of 2),TRNAU1AP
rsph14,rsph14,RSPH14
itm2a,itm2a,ITM2A
uba52,uba52,UBA52
LOC107377315,LOC107377315,
ppil3,ppil3,PPIL3
has3,has3 (1 of 2),HAS3
LOC107381858,has3 (2 of 2),HAS3
cops3,cops3,COPS3
prph,prph,PRPH
stx5,stx5,STX5
taf1c,taf1c,TAF1C
mark2,mark2,MARK2
LOC107374802,kif2a (1 of 2),KIF2A
LOC107393904,kif2a (2 of 2),KIF2A
lbh,lbh (1 of 2),LBH
LOC107377901,lbh (2 of 2),LBH
LOC107396772,antxr2 (1 of 2),ANTXR2
antxr2,antxr2 (2 of 2),ANTXR2
prkra,prkra,PRKRA
jmjd7,jmjd7,JMJD7
LOC107389755,lpar2 (1 of 2),LPAR2
lpar2,lpar2 (2 of 2),LPAR1
atoh8,atoh8,ATOH8
LOC107392335,fcrl5 (1 of 2),FCRL5
LOC107395308,fcrl5 (2 of 2),FCRL5
gipc2,gipc2,GIPC1
LOC107379496,trim69,TRIM69
LOC107378058,cep85 (1 of 2),CEP85L
cep85,cep85 (2 of 2),CEP85
ccbl2,ccbl2,CCBL2
LOC107388838,iqsec3 (1 of 2),IQSEC3
iqsec3,iqsec3 (2 of 2),IQSEC3
trim55,trim55,TRIM55
mms22l,mms22l,MMS22L
egln3,egln3,EGLN3
LOC107375876,bcl2l11,
b3galt6,b3galt6,B3GALT6
LOC107394972,anxa2 (1 of 3),ANXA2
LOC107381497,anxa2 (2 of 3),ANXA2
LOC107388766,anxa2 (3 of 3),ANXA2
ovca2,ovca2,OVCA2
LOC107373196,LOC107373196,
LOC107376790,gab1 (1 of 2),GAB1
gab1,gab1 (2 of 2),GAB1
kbtbd4,kbtbd4,KBTBD4
LOC107395353,or4k13,OR2A1
LOC107382100,larp6 (1 of 2),LARP6
LOC107383576,larp6 (2 of 2),LARP6
LOC107373493,znf418 (1 of 2),ZNF879
LOC107372994,znf418 (2 of 2),ZNF566
arfgef1,arfgef1,ARFGEF1
atf7ip,atf7ip (1 of 2),ATF7IP
LOC107390556,atf7ip (2 of 2),ATF7IP
nck2,nck2,NCK2
LOC107382360,zdhhc5 (1 of 2),ZDHHC5
