ncbi	human
LOC107393218	SELP
LOC107383253	ZNF420
nox5	NOX5
LOC107379286	CELSR1
grip1	GRIP1
cep57l1	CEP57L1
megf6	MEGF6
st8sia2	ST8SIA2
jakmip3	JAKMIP3
LOC107384932	IP6K2
dag1	DAG1
ptpn11	PTPN11
inip	INIP
larp1	LARP1
LOC107397014	CFB
med1	MED1
pex19	PEX19
map3k5	MAP3K5
dpy19l1	DPY19L1
LOC107390983	IGFN1
LOC107394923	HMGCS1
araf	ARAF
wnt16	WNT16
LOC107383282	IGF2BP3
LOC107395088	EIF3I
LOC107389411	EPHA6
ighmbp2	IGHMBP2
mthfd2	MTHFD2
ndufaf6	NDUFAF6
LOC107391871	MARC1
LOC107387353	B3GNT5
olig1	OLIG1
LOC107374924	PTGER4
plekhf2	PLEKHF2
LOC107372910	PIAS2
LOC107396290	LIMD1
LOC107396719	PLAUR
LOC107392724	ZNF3
LOC107379136	GIMAP4
rab27a	RAB27A
tmem256	TMEM256
LOC107394667	LINGO1
cntd2	CCNB2
LOC107390259	GFRA2
LOC107372472	CSMD3
slc2a9	SLC2A9
rap1gds1	RAP1GDS1
phf11	PHF11
LOC107372455	FRMD4B
txnl1	TXNL1
LOC107384203	ANKRD33B
LOC107392209	MSRA
LOC107377422	DCTN6
LOC107380743	ZP3
LOC107396499	TMPRSS9
LOC107392619	CTD-3088G3.8
LOC107392596	IFI27
abca5	ABCA5
LOC107374388	MOGAT2
LOC107395792	NRN1L
pop1	POP1
LOC107385646	IGFBP6
LOC107387843	ANXA11
gpn1	GPN1
LOC107396960	ZNF235
LOC107389533	FRZB
LOC107393326	CBARP
LOC107390152	TUBA4A
rpl23a	RPL23A
LOC107390603	CHMP4B
LOC107392036	CTSV
LOC107377852	GPR137B
LOC107395686	GSTZ1
mtr	MTR
sdk1	SDK1
lrrc32	LRRC32
fgd6	FGD6
LOC107390623	CXCL12
LOC107394510	ZBTB12
LOC107376976	TRIM25
LOC107393420	VPS4B
arfip1	ARFIP1
supt16h	SUPT16H
LOC107394475	ZNF84
LOC107386250	LRRC74B
txndc16	TXNDC16
LOC107388277	MYO15A
mrps30	MRPS30
LOC107378652	ZNF777
LOC107374261	RNASEH1
vamp8	VAMP8
bambi	BAMBI
LOC107396389	HSPA12A
trpa1	TRPA1
LOC107376503	MFSD13A
dpysl5	DPYSL5
pdss2	PDSS2
adam22	ADAM22
LOC107390735	CNTN4
tmem192	TMEM192
pepd	PEPD
adsl	ADSL
LOC107384344	RNF31
LOC107380394	CRYBB1
prok2	PROK1
LOC107396619	CSF3R
LOC107387761	KCNG3
fam184b	FAM184B
LOC107393769	NKX3-1
LOC107378304	FASLG
lsg1	LSG1
LOC107379852	SNAP25
LOC107392694	CALHM1
LOC107378069	SYNDIG1
ubox5	UBOX5
LOC107379516	PVRL1
LOC107396936	ABHD8
LOC107387749	OPN4
LOC107385829	EPYC
LOC107375317	SLC22A7
LOC107382977	NXPE3
LOC107373105	SUZ12
LOC107377751	AAED1
psmd1	PSMD1
parp4	PARP4
slc45a2	SLC45A2
LOC107373233	FAM151B
LOC107388884	PDP2
ptpn9	PTPN9
atp6v0b	ATP6V0B
fpgt	FPGT
kcnh8	KCNH8
vps25	VPS25
dnah5	DNAH5
myo10	MYO10
rybp	RYBP
LOC107391130	WNK2
snx8	SNX8
LOC107372319	CNN2
LOC107383824	MCOLN3
dhx33	DHX33
LOC107374540	MEF2A
plekhn1	PLEKHN1
rad51	RAD51
LOC107385387	CELA1
gtse1	GTSE1
LOC107387643	TECTB
sepsecs	SEPSECS
sec31b	SEC31A
dnaja3	DNAJA3
LOC107395156	NELFB
hhat	HHAT
LOC107391895	AHSA1
cdc27	CDC27
LOC107388889	TMEM116
LOC107388586	NR2C2
LOC107386530	GPM6B
LOC107374166	CPNE8
tnfaip6	TNFAIP6
chac1	CHAC1
npepps	NPEPPS
xpo6	XPO6
LOC107389228	ANO10
crh	CRH
asb6	ASB6
LOC107376108	NAPB
LOC107378185	RAD51AP2
nmnat1	NMNAT1
atp5f1	ATP5F1
LOC107377147	KLHL33
LOC107395760	SOCS1
LOC107374136	LIPH
lypd6	LYPD6
rhbdd1	RHBDD1
LOC107375764	ARL3
LOC107379524	TLR9
LOC107379617	SHE
LOC107389279	CHST6
LOC107387428	TVP23B
hivep2	HIVEP2
rnf144a	RNF144A
LOC107377280	HOMEZ
LOC107388669	TPO
LOC107395861	ST3GAL1
LOC107387889	KBTBD13
LOC107383170	NRSN1
dcaf13	DCAF13
LOC107389748	ADGRG4
dtna	DTNA
rabgef1	RABGEF1
LOC107379877	LGALS9B
LOC107383734	ARMC1
LOC107378509	TCEB2
ssr3	SSR3
LOC107393509	IER3IP1
snx21	SNX21
mb21d1	MB21D1
LOC107374048	CBLN3
LOC107384599	TAAR6
six4	SIX4
ndor1	NDOR1
LOC107391222	CABLES2
LOC107381494	FOXB1
LOC107382019	CARTPT
myo1e	MYO1E
tmem174	TMEM174
LOC107374920	ACAP3
LOC107390783	EPS8L3
atp6v1h	ATP6V1H
psmb5	PSMB5
usp39	USP39
arhgap35	ARHGAP35
pik3c3	PIK3C3
LOC107383368	GRIA1
LOC107387146	KLF5
ccne1	CCNE1
LOC107374198	CCL3
tmem234	TMEM234
spop	SPOP
LOC107376746	ZFP28
LOC107396880	SLC26A2
gars	GARS
LOC107391354	PIM1
pdcd2l	PDCD2L
LOC107374374	RTL1
LOC107391510	PTPN7
LOC107384974	ASAP1
cdc42ep4	CDC42EP4
vav3	VAV3
kctd10	KCTD10
LOC107377638	MYCN
LOC107375712	SFXN1
LOC107384621	CHAMP1
LOC107390313	SOWAHC
LOC107378641	ZNF616
kiaa0196	KIAA0196
LOC107395729	DPY19L4
cd59	CD59
kiaa0907	KIAA0907
LOC107377728	RDH14
LOC107386381	DIXDC1
LOC107389036	USH1C
snrpd3	SNRPD3
lcmt2	LCMT2
LOC107379610	EFNA3
slc13a4	SLC13A4
LOC107377367	CORO1B
LOC107377690	SYTL3
nars	NARS
ptprg	PTPRG
LOC107374076	RBM10
ndfip2	NDFIP2
dbh	DBH
LOC107380416	ZFP36L1
LOC107374637	KMT2D
sav1	SAV1
ube2j2	UBE2J2
LOC107396836	SLC22A15
arsb	ARSB
cdca3	CDCA3
atp5s	ATP5S
usp32	USP32
faxdc2	FAXDC2
nampt	NAMPT
phka1	PHKA1
dhdh	DHDH
LOC107374900	PARP12
tmem263	TMEM263
LOC107380194	GUCA1C
LOC107383778	SRR
LOC107397241	STX1B
LOC107391780	MLLT4
mrps25	MRPS25
LOC107391787	TLX1
slc39a12	SLC39A12
ror1	ROR1
LOC107395259	TCF7L1
LOC107374400	HMGXB3
LOC107378378	HBZ
cdk5r2	CDK5R1
csgr14h3orf17	C3orf17
parn	PARN
LOC107386114	GIMAP4
fbxl7	FBXL7
LOC107378634	PAQR7
mettl13	METTL13
prss35	PRSS35
fam120c	FAM120C
ppm1e	PPM1E
LOC107378586	PPP1R1B
LOC107379181	COL28A1
cyr61	CYR61
LOC107394012	GNA14
LOC107373491	ZNF234
LOC107394900	GALR1
slc7a2	SLC7A2
cnp	CNP
ngdn	NGDN
smad6	SMAD6
LOC107393208	ODF3L2
LOC107390497	COLGALT1
LOC107391464	FGD1
LOC107381837	STRA6
wnt6	WNT6
LOC107375373	FAM53C
LOC107374580	RIN3
LOC107386882	GBAS
LOC107388332	HIST2H3D
LOC107381547	TSPAN3
aprt	APRT
socs6	SOCS6
LOC107377674	CAPN3
adam12	ADAM12
LOC107376263	ANKFN1
cherp	CHERP
LOC107379073	KCNE1B
kiaa0355	KIAA0355
fto	FTO
LOC107391527	DNASE1L3
LOC107395823	VPS37C
reep6	REEP6
LOC107375120	MAN1B1
LOC107383559	ABCA4
gspt1	GSPT1
zdhhc17	ZDHHC17
arfip2	ARFIP2
LOC107388496	CD2
LOC107392476	CCK
grin2b	GRIN2B
gmnc	GMNC
LOC107372385	USP12
LOC107390712	FOXJ3
trim9	TRIM9
LOC107383149	SLC9A9
tcf15	TCF15
lamp3	LAMP3
LOC107386615	KDM6B
LOC107374825	GCNT4
LOC107378329	BRD2
adgrb2	ADGRB2
aadat	AADAT
cbx2	CBX2
cobll1	COBLL1
lrrc75a	LRRC75A
LOC107376169	PTGFR
LOC107373830	SPPL2A
col6a2	COL6A2
LOC107395987	ACTC1
LOC107387533	TBX6
LOC107383620	ACKR4
LOC107379007	PI4KB
LOC107372955	FUCA1
ncam2	NCAM2
LOC107381556	BRSK2
lats2	LATS2
LOC107384888	NMUR2
cpne9	CPNE9
LOC107375262	LGI2
LOC107372694	NCAPH2
slit2	SLIT2
LOC107383762	PLXDC2
LOC107379171	RAB5A
LOC107386324	NAIF1
LOC107385913	ROBO1
fdft1	FDFT1
LOC107383334	DLGAP3
LOC107391765	HIST2H2AB
LOC107374467	STMN1
LOC107381473	CUZD1
LOC107388918	C16orf72
slc35b4	SLC35B4
dmxl2	DMXL2
pcbp2	PCBP2
LOC107379487	FBXW7
LOC107381127	ZNF235
LOC107372572	ADRA1B
LOC107395588	LIMS3
LOC107396410	GNG13
b4galnt4	B4GALNT4
sox8	SOX8
LOC107386505	CHRNG
LOC107378872	YWHAB
adamts20	ADAMTS9
LOC107386938	TRPC4
cct6a	CCT6A
LOC107377157	LTB4R
LOC107387257	PGBD4
LOC107378275	AATK
LOC107387231	ARG1
edc3	EDC3
cpb1	CPB1
maff	MAFK
vill	AVIL
LOC107390233	TSC22D1
LOC107384719	RBM4B
zc3h18	ZC3H18
fezf2	FEZF2
hmox2	HMOX2
LOC107375063	GADD45G
rfc4	RFC4
LOC107393524	ERLIN2
hmg20b	HMG20B
serinc4	SERINC4
LOC107396345	NLRP1
LOC107384310	ANXA13
espnl	ESPNL
itga8	ITGA8
LOC107385859	OPN1SW
LOC107380947	TMEM151B
rab11fip4	RAB11FIP4
ddx17	DDX17
tdrkh	TDRKH
LOC107377193	COL15A1
LOC107386072	UNC13B
pld4	PLD4
pip4k2c	PIP4K2C
LOC107389624	ZNF569
LOC107393496	UBE2G1
rps20	RPS20
LOC107377669	ELMSAN1
LOC107380587	CASR
gatc	GATC
upf2	UPF2
prpf40a	PRPF40A
hn1l	HN1L
pacsin1	PACSIN1
LOC107388549	DUOXA2
LOC107375570	CAPN2
rho	RHO
LOC107378596	CCND2
fry	FRY
serinc1	SERINC1
LOC107372447	SRR
prrx1	PRRX1
LOC107384145	TCF3
nt5c2	NT5C2
pcyt1b	PCYT1B
LOC107380041	NLRP1
LOC107372907	CFAP46
adgb	ADGB
zfand4	ZFAND4
LOC107377439	DHX15
LOC107385584	MXRA8
ubr2	UBR2
LOC107384155	RBP1
hmga2	HMGA2
ints9	INTS9
LOC107374258	ACBD7
mtpap	MTPAP
fnbp4	FNBP4
LOC107385545	HIPK1
dolk	DOLK
LOC107386039	RUFY3
LOC107373531	ZNF235
LOC107374617	ZNF235
LOC107395018	RLN3
brinp1	BRINP1
LOC107388604	AEBP2
LOC107373707	FGFBP3
LOC107373261	HARBI1
LOC107389097	PTPRB
LOC107392454	ACTC1
myrfl	MYRFL
LOC107388115	ZNF235
LOC107384122	C2CD4C
LOC107395232	RAB3B
homer1	HOMER1
laptm4a	LAPTM4A
smim14	SMIM14
LOC107396003	GIN1
LOC107377282	CIDEB
LOC107393432	TMEM205
slc19a2	SLC19A2
LOC107395161	ZNF235
vdac1	VDAC1
med22	MED22
mtch2	MTCH2
rfx5	RFX5
LOC107395015	HPCAL1
plekhg7	PLEKHG7
LOC107384901	RPL22
gcgr	GLP1R
hmces	HMCES
tox	TOX
med7	MED7
dnajc1	DNAJC1
LOC107393687	KIFC3
podn	PODN
znf595	ZNF568
ttc7b	TTC7B
LOC107376590	SEPT9
LOC107387177	HARBI1
smo	SMO
galnt13	GALNT13
csgr02h4orf33	C4orf33
hgh1	HGH1
LOC107372681	DHRS7C
nek5	NEK5
LOC107375606	SAMD8
LOC107373844	NYNRIN
adnp2	ADNP2
anapc1	ANAPC1
frk	FRK
LOC107382495	GIMAP4
LOC107390172	SPTAN1
LOC107390968	CAMKV
LOC107378642	ZNF649
tmem241	TMEM241
LOC107382763	SLC12A5
adcy3	ADCY3
LOC107388173	RAC2
LOC107375914	FAM109A
LOC107379058	CD22
rabggta	RABGGTA
LOC107375343	ZNF165
birc6	BIRC6
LOC107386306	GOLGB1
LOC107376151	TNRC6B
prdm16	PRDM16
LOC107384428	ESPNL
nipa1	NIPA1
ttyh2	TTYH2
LOC107391297	TMEM189
LOC107372771	WAC
LOC107386391	PURA
cnfn	CNFN
gnptg	GNPTG
LOC107373766	BRD9
tcaf1	TCAF2
rab1a	RAB1A
clec3b	CLEC3B
ndrg1	NDRG1
LOC107375926	PLEKHA1
LOC107381757	ZBED1
fdps	FDPS
LOC107375647	ZDHHC16
tesk1	TESK2
ndufs3	NDUFS3
aak1	GAK
ppm1l	PPM1L
LOC107378574	VAT1
hacl1	HACL1
LOC107384633	DYNLT1
wdr24	WDR24
slc27a4	SLC27A4
tfb1m	TFB1M
fam210b	FAM210B
LOC107373091	TCAF2
prmt5	PRMT5
LOC107390468	MXRA8
LOC107373761	HOXD11
abhd16a	ABHD16A
tmem223	TMEM223
lin37	LIN37
kat7	KAT7
LOC107374271	UNC119B
LOC107381475	OIT3
rbl2	RBL2
LOC107375603	DUSP13
fibin	FIBIN
LOC107380253	FUT5
mtnr1a	MTNR1A
tnfsf11	TNFSF11
LOC107373789	WFDC3
miox	MIOX
LOC107394835	ELMO1
LOC107397261	ZNF846
LOC107376295	FBXO6
LOC107374808	HNRNPD
smyd1	SMYD1
LOC107385045	KCNA3
fastkd2	FASTKD2
agr2	AGR3
LOC107380573	CASR
LOC107380208	SLC7A1
LOC107379697	REC8
LOC107396033	SLC5A6
chst7	CHST7
klf2	KLF2
LOC107395739	RXFP3
LOC107391072	CERS5
map2k2	MAP2K2
LOC107383736	ZNF287
LOC107393610	PTGDR2
rpf2	RPF2
LOC107379640	L3MBTL3
med16	MED16
tmem63a	TMEM63B
fam73b	FAM73B
LOC107372411	HNRNPAB
lrriq1	LRRIQ1
vangl1	VANGL1
LOC107372469	ZNF235
LOC107393138	WIZ
LOC107393820	CXorf40A
skor2	SKOR2
LOC107386414	ERGIC2
llph	LLPH
klhl22	KLHL22
lipe	LIPE
LOC107378062	HSP90AA1
LOC107396471	TTC39B
pqlc1	PQLC1
yif1a	YIF1A
ophn1	OPHN1
LOC107393296	TCF3
cep126	CEP126
kti12	KTI12
LOC107390157	DES
LOC107395645	TRAF2
pard6b	PARD6B
eea1	EEA1
LOC107375056	HSPA4
LOC107386979	SLC7A1
epn3	EPN3
LOC107376789	TRPC5
LOC107372850	WIPF2
gper1	GPER1
cacna1f	CACNA1F
LOC107375930	HTRA1
wdr41	WDR41
hps4	HPS4
LOC107386811	SLC34A1
wbp1l	WBP1L
LOC107383694	ZNF41
LOC107381145	METTL21C
myef2	MYEF2
LOC107386209	GSN
LOC107372950	HOXB13
chrna2	CHRNA2
LOC107374242	ZFYVE1
LOC107392078	CLDN11
mcm3ap	MCM3AP
gucy1a3	GUCY1A3
babam1	BABAM1
LOC107385564	CPNE5
pnkd	PNKD
sike1	SIKE1
esm1	ESM1
LOC107386903	ALDH3A2
htr2b	HTR2B
nppa	NPPA
d2hgdh	D2HGDH
tax1bp1	TAX1BP1
polr3e	POLR3E
LOC107381730	NNT
LOC107395545	OR52K1
uba52	UBA52
ppil3	PPIL3
prph	PRPH
LOC107378757	TRIO
taf1c	TAF1C
mark2	MARK2
lbh	LBH
prkra	PRKRA
LOC107397211	ZNF235
atoh8	ATOH8
trim55	TRIM55
iqsec3	IQSEC3
LOC107380688	FOXG1
b3galt6	B3GALT6
rbbp8	RBBP8
ovca2	OVCA2
LOC107397364	ZMYM1
LOC107387088	ABCC9
LOC107388469	LDHB
arfgef1	ARFGEF1
atf7ip	ATF7IP
zdhhc5	ZDHHC8
pyroxd1	PYROXD1
LOC107374754	PTGS1
LOC107395189	T
LOC107384016	GPC5
LOC107373250	OPRM1
cmpk1	CMPK1
LOC107379064	ZNF544
LOC107380008	PVR
ring1	RNF2
LOC107380569	CASR
ift80	IFT80
LOC107393226	TOR1AIP1
LOC107385378	GLS
LOC107379128	TMEM176B
LOC107374186	TMEM117
LOC107391854	PSEN1
LOC107394681	HPCAL1
LOC107391829	HIST1H4C
LOC107390085	C7orf57
LOC107391041	SPINK1
LOC107381838	ISLR2
rrp9	RRP9
bcl2l14	BCL2L14
ptdss1	PTDSS1
rad9a	RAD9A
LOC107372550	SLC2A9
LOC107385937	H1FOO
prelid3b	PRELID3B
igf2bp2	IGF2BP2
LOC107374440	RYR2
ddx31	DDX31
LOC107394583	ZNF845
LOC107388592	FLNC
fnip1	FNIP1
samd8	SAMD8
LOC107378645	ZNF160
mybpc2	MYBPC2
cplx1	CPLX1
LOC107380310	PRLHR
LOC107380080	MAP6
LOC107380881	CXCR1
ubap2l	UBAP2L
sh3bgr	SH3BGRL
LOC107373939	AC092835.2
LOC107390934	NANS
LOC107378402	HS3ST4
LOC107379603	S100A6
LOC107389430	TRIM25
zfand2a	ZFAND2B
rab10	RAB10
LOC107390792	GPR61
schip1	IQCJ-SCHIP1
LOC107372663	CASR
LOC107394610	SCRT2
LOC107376898	ZNF638
LOC107379667	TRIM16
LOC107393030	FETUB
nup50	NUP50
wisp3	WISP3
LOC107391740	PACS2
LOC107379535	CEACAM8
scel	SCEL
LOC107380739	RTL1
LOC107394181	KCNIP3
tmem59	TMEM59
LOC107380240	STARD13
LOC107391845	HIST1H4C
LOC107374736	NTRK2
LOC107391580	GSPT1
tpmt	TPMT
LOC107394065	MPEG1
LOC107384002	PPM1L
adgrg6	ADGRG6
LOC107388792	FRMD5
LOC107393647	NPY2R
LOC107389570	HSPE1-MOB4
LOC107385003	PLXNA2
LOC107394775	CLEC17A
LOC107376382	GIMAP7
adgrd1	ADGRD1
fam124a	FAM124A
LOC107385256	EMP3
vax1	VAX1
xdh	XDH
nab2	NAB2
LOC107391319	ITCH
mgmt	MGMT
dnpep	DNPEP
lect1	LECT1
ffar4	HCRTR2
LOC107383139	NEB
LOC107394869	PVR
egfl6	EGFL6
LOC107373082	FMO5
csgr10h6orf89	C6orf89
LOC107374533	SHANK3
otop1	OTOP1
uck1	UCK1
cept1	CEPT1
gsg2	GSG2
amotl2	AMOTL2
LOC107378104	MGA
dnmt3a	DNMT3A
LOC107391465	CXXC1
LOC107384115	AC013461.1
LOC107395033	IRX1
LOC107384571	CD247
mta2	MTA2
smarcal1	SMARCAL1
znf710	ZNF710
LOC107379912	OR4S1
cables1	CABLES1
atp13a3	ATP13A3
rtbdn	FOLR3
slitrk6	SLITRK6
LOC107391274	KLHL10
LOC107388462	NET1
LOC107384361	PLPPR4
spry4	SPRY4
patz1	PATZ1
umad1	METTL21C
ttc19	TTC19
LOC107397233	GABRP
mtm1	MTM1
csgr01h5orf45	C5orf45
LOC107386983	HARBI1
LOC107397225	ANO9
LOC107372565	UBE2M
LOC107393124	LOX
ahcyl2	AHCYL2
plekhm3	PLEKHM3
LOC107377308	FGF20
LOC107394138	CSGALNACT1
LOC107384917	ABRA
c2cd3	C2CD3
LOC107380977	MYADML2
LOC107384443	GAD1
ints1	INTS1
LOC107380855	VEGFC
zc3h15	ZC3H15
pmp22	EMP3
LOC107374772	RAPGEF1
LOC107378006	EHD1
LOC107386288	REXO1
LOC107391882	NAT8
habp4	HABP4
smpd3	SMPD3
nat14	NAT14
LOC107389884	OR51E1
asz1	ASZ1
LOC107395483	ADD3
LOC107381580	OSBPL3
LOC107381340	CALB2
LOC107396143	HMGCR
dennd5a	DENND5A
LOC107379223	CTSS
il4i1	IL4I1
kxd1	KXD1
LOC107391822	HIST1H4C
LOC107395204	ADGRB1
ddx49	DDX49
fkbp11	FKBP11
LOC107381597	SNX4
LOC107377139	KLHDC2
nup133	NUP133
aqp8	AQP8
tm2d3	TM2D3
LOC107391363	STK35
LOC107391612	IGF2BP1
LOC107375188	NSUN7
rasef	RASEF
klhl5	KLHL5
rasd1	RASD1
LOC107385850	CCDC120
LOC107392979	KNG1
gas2	GAS2
eml2	EML1
LOC107392093	PLS1
adck5	ADCK5
LOC107394397	CACNG7
LOC107378962	FXYD3
LOC107385437	SLC16A7
efna5	EFNA5
LOC107388751	SH2D7
LOC107381985	RNF182
myo1b	MYO1B
LOC107381263	NRP1
ufsp2	UFSP2
wbscr17	WBSCR17
LOC107396179	SDC4
LOC107387485	PPP1R3C
LOC107393014	CFH
mmp2	MMP2
LOC107392981	TMEM69
vkorc1l1	VKORC1
LOC107383423	TRIM21
prps2	PRPS1
LOC107379499	VARS
LOC107391587	TSPAN9
LOC107395122	NRG1
kcns2	KCNS2
LOC107392781	KDM4B
LOC107380828	SV2B
LOC107389955	LECT1
LOC107383171	LPCAT2
LOC107376114	CYCS
LOC107390975	GRM7
LOC107376518	PRKCA
LOC107372353	TSPAN15
rbm46	RBM46
vma21	VMA21
csnk1d	CSNK1D
fam187b	FAM187A
star	STAR
nisch	NISCH
LOC107390162	SNX4
LOC107395781	KCNK12
LOC107377409	ADGRL3
mphosph10	MPHOSPH10
polr1a	POLR1A
utp15	UTP15
LOC107391702	MPP5
LOC107395969	ASXL3
rai14	RAI14
LOC107384781	DOCK11
LOC107375219	IRF2
LOC107396304	LRRFIP2
LOC107396360	ZBED9
lrrc61	LRRC61
LOC107377030	PRKD3
zc4h2	ZC4H2
LOC107380068	CASR
LOC107374282	GABRP
LOC107372588	PTDSS1
fip1l1	FIP1L1
LOC107396871	PCDHGA12
LOC107389033	PTPN5
LOC107382692	CEBPE
gda	GDA
LOC107383949	PRTFDC1
uba1	UBA1
LOC107389482	TNNI2
LOC107380612	CASR
LOC107394220	HCAR2
ccdc92	CCDC92
LOC107391330	CHST11
slc35e3	SLC35E3
LOC107383912	PHACTR1
LOC107378273	MAP2K6
LOC107384048	FIGN
LOC107395642	EDN2
nlgn3	NLGN3
dexi	DEXI
pigx	PIGX
LOC107380863	PVRL3
gopc	GOPC
angpt1	ANGPT1
lrif1	LRIF1
tmem182	TMEM182
emc7	EMC7
LOC107379907	OR52D1
LOC107384836	ZMYM1
LOC107372512	SOX9
col8a1	COL8A1
chrd	CHRD
gorasp2	GORASP2
gigyf2	GIGYF2
gpcpd1	GPCPD1
rnf217	RNF217
rarg	RARG
LOC107380906	SATB2
LOC107384578	ZNF878
LOC107387398	BOK
zmat5	ZMAT5
slc46a3	SLC46A3
LOC107385961	GHRH
cndp2	CNDP2
csgr12h7orf50	C7orf50
LOC107392518	KRT36
LOC107395134	KLHL11
psmd6	PSMD6
ptcd2	PTCD2
LOC107396643	GIMAP8
LOC107395566	SLA2
LOC107396858	PCDHB15
btc	BTC
LOC107387436	FGF4
LOC107375473	PROP1
LOC107392881	ZAP70
LOC107376361	ASRGL1
LOC107392346	ATXN3
LOC107384966	KRT8
flnc	FLNC
LOC107382469	RTL1
LOC107386184	ATP8B2
LOC107386962	TYR
LOC107393742	CHRNA3
boll	BOLL
srek1ip1	SREK1IP1
LOC107380823	MAP1B
LOC107386338	SKA2
LOC107390374	ANKS1A
LOC107388297	ZMYM1
sox5	SOX5
LOC107379935	ZNF227
LOC107381578	CTRB1
LOC107375812	RGS17
pdlim7	PDLIM7
LOC107375491	COL6A5
LOC107396531	ST6GALNAC2
hadhb	HADHB
rbm18	RBM18
nid1	NID1
csgr16h14orf28	C14orf28
snx5	SNX5
LOC107380320	CEP57
LOC107382331	HN1
kcnq3	KCNQ3
LOC107383160	NLRP1
LOC107373309	PLEKHG4B
LOC107395237	ERBB4
stard3	STARD3
LOC107383904	MYLK4
csgr08h18orf63	C18orf63
cdh11	CDH11
rspry1	RSPRY1
nelfb	NELFB
cmtm4	CMTM4
LOC107382403	CNNM1
LOC107374201	CCDC102A
LOC107387005	SRSF1
LOC107385700	VHL
psmd13	PSMD13
emp1	EMP2
LOC107377019	COL4A1
prr16	PRR16
dner	DNER
LOC107392430	DPF3
lmbr1l	LMBR1L
usp47	USP47
sp1	SP1
grpr	GRPR
eif3i	EIF3I
LOC107373737	ZNF208
LOC107393037	ZNF235
LOC107386103	CFAP157
wdr35	WDR35
neo1	NEO1
LOC107391335	LHFPL4
tcf24	TCF24
tmem244	TMEM244
LOC107390471	CAMTA1
wbp1	WBP1
mfsd2b	MFSD2A
LOC107386769	CEP290
prickle2	PRICKLE2
adam8	ADAM8
kpna1	KPNA1
fbxo10	FBXO10
nox1	CYBB
stat3	STAT3
LOC107395726	CBX8
slc35a5	SLC35A5
myo3a	MYO3A
gen1	GEN1
LOC107372700	MPDZ
sept5	SEPT5
adora2a	ADORA2A
LOC107390117	DNAL1
hsd17b10	HSD17B10
LOC107390229	OR52D1
slc9a3r1	SLC9A3R1
LOC107389405	TXNRD3
LOC107376541	TRPC7
tnfaip2	TNFAIP2
slc35a1	SLC35A1
LOC107393089	PTBP1
LOC107378789	RSPO3
LOC107375734	EYS
LOC107381849	PRR33
LOC107394941	SLC9A1
LOC107392141	MAP1B
LOC107388934	CHRM2
LOC107375136	TSC1
LOC107381945	SLC22A13
nnt	NNT
LOC107383748	HIST1H4C
LOC107389379	PARP14
LOC107397080	RNF223
LOC107372493	PLCXD1
LOC107397135	SLC43A2
mylk	MYLK
LOC107383534	CTSZ
LOC107396226	BNIP3L
aplf	APLF
LOC107389010	ZNF3
LOC107383312	ZNF641
glis2	GLIS2
ube2d1	UBE2D2
acsl4	ACSL4
tmem72	TMEM72
LOC107396627	DPYSL5
LOC107386126	IER3
rgp1	RGP1
LOC107376610	IL12RB2
reps2	REPS2
traf3	TRAF3
LOC107389951	IQCE
LOC107378622	PRSS1
trabd	TRABD
LOC107384075	DENND2A
dapp1	DAPP1
nrf1	NRF1
LOC107394131	PTGER4
serinc5	SERINC5
LOC107373407	SH3BGRL3
LOC107396847	GCM2
kiaa0319l	KIAA0319L
LOC107393140	CACNA1B
hmbox1	HMBOX1
bcar1	BCAR1
LOC107373575	WFDC3
abl2	ABL2
ccna1	CCNA1
msx1	MSX1
LOC107387097	KCNJ8
mad2l1	MAD2L1
rrn3	RRN3
LOC107374199	ZNF235
LOC107393409	FCRLA
LOC107376523	AXIN2
LOC107395512	VWC2
LOC107384676	BZW1
LOC107377672	ZNF106
eif4g2	EIF4G2
c5	C5
maf	MAFB
rbmx2	RBMX2
LOC107373710	GRIPAP1
LOC107394680	GRHPR
jade2	JADE2
st6galnac5	ST6GALNAC5
LOC107376098	TCF7L1
LOC107392360	PELI2
ccdc62	CCDC62
vegfc	VEGFC
hes1	HES1
slc15a4	SLC15A4
tubgcp2	TUBGCP2
hdac4	HDAC4
LOC107380218	CLDN8
txndc11	TXNDC11
nudt3	NUDT3
fibcd1	FIBCD1
LOC107386688	COX7B
anapc5	ANAPC5
sema3e	SEMA3E
LOC107390484	CHIA
LOC107390222	PNKD
LOC107384559	LRRFIP1
tmem179	TMEM179
pck1	PCK1
LOC107379242	TMEM79
srpra	SRPRA
LOC107383583	CIB3
znf280d	ZNF280D
igsf21	IGSF21
fau	FAU
apip	APIP
tcf19	TCF19
fam228b	FAM228B
nit2	NIT2
LOC107385826	CNTN4
dap	DAP
casp3	CASP3
LOC107379611	EFNA5
LOC107391976	ADPRHL1
tm9sf3	TM9SF3
LOC107380716	MMP20
fancb	FANCB
LOC107376179	ZNF653
LOC107381564	HNF4G
rpl13	RPL13
acvr1c	ACVR1C
aldh4a1	ALDH4A1
LOC107373371	CEACAM5
acadvl	ACADVL
ralgps2	RALGPS2
LOC107384935	CHCHD4
usp7	USP7
LOC107375174	FAM20C
LOC107375897	GFPT2
LOC107384613	NHSL1
LOC107374931	LAMC3
LOC107390253	ITGA3
LOC107381334	GAS8
wdr63	WDR63
lrrc38	LRRC38
LOC107392495	TMEM39B
LOC107379519	CEACAM6
